State	1972	1976	1980	1984	1988	1992	1996	2000	2004	2008	2012	2016
Alabama	R	D	R	R	R	R	R	R	R	R	R	R
Alaska	R	R	R	R	R	R	R	R	R	R	R	R
Arizona	R	R	R	R	R	R	D	R	R	R	R	R
Arkansas	R	D	R	R	R	D	D	R	R	R	R	R
California	R	R	R	R	R	D	D	D	D	D	D	D
Colorado	R	R	R	R	R	D	R	R	R	D	D	D
Connecticut	R	R	R	R	R	D	D	D	D	D	D	D
Delaware	R	D	R	R	R	D	D	D	D	D	D	D
D.C.	D	D	D	D	D	D	D	D	D	D	D	D
Florida	R	D	R	R	R	R	D	R	R	D	D	R
Georgia	R	D	D	R	R	D	R	R	R	R	R	R
Hawaii	R	D	D	R	D	D	D	D	D	D	D	D
Idaho	R	R	R	R	R	R	R	R	R	R	R	R
Illinois	R	R	R	R	R	D	D	D	D	D	D	D
Indiana	R	R	R	R	R	R	R	R	R	D	R	R
Iowa	R	R	R	R	D	D	D	D	R	D	D	R
Kansas	R	R	R	R	R	R	R	R	R	R	R	R
Kentucky	R	D	R	R	R	D	D	R	R	R	R	R
Louisiana	R	D	R	R	R	D	D	R	R	R	R	R
Maine	R	R	R	R	R	D	D	D	D	D	D	D
Maryland	R	D	D	R	R	D	D	D	D	D	D	D
Massachusetts	D	D	R	R	D	D	D	D	D	D	D	D
Michigan	R	R	R	R	R	D	D	D	D	D	D	R
Minnesota	R	D	D	D	D	D	D	D	D	D	D	D
Mississippi	R	D	R	R	R	R	R	R	R	R	R	R
Missouri	R	D	R	R	R	D	D	R	R	R	R	R
Montana	R	R	R	R	R	D	R	R	R	R	R	R
Nebraska	R	R	R	R	R	R	R	R	R	R	R	R
Nevada	R	R	R	R	R	D	D	R	R	D	D	D
New Hampshire	R	R	R	R	R	D	D	R	D	D	D	D
New Jersey	R	R	R	R	R	D	D	D	D	D	D	D
New Mexico	R	R	R	R	R	D	D	D	R	D	D	D
New York	R	D	R	R	D	D	D	D	D	D	D	D
North Carolina	R	D	R	R	R	R	R	R	R	D	R	R
North Dakota	R	R	R	R	R	R	R	R	R	R	R	R
Ohio	R	D	R	R	R	D	D	R	R	D	D	R
Oklahoma	R	R	R	R	R	R	R	R	R	R	R	R
Oregon	R	R	R	R	D	D	D	D	D	D	D	D
Pennsylvania	R	D	R	R	R	D	D	D	D	D	D	R
Rhode Island	R	D	D	R	D	D	D	D	D	D	D	D
South Carolina	R	D	R	R	R	R	R	R	R	R	R	R
South Dakota	R	R	R	R	R	R	R	R	R	R	R	R
Tennessee	R	D	R	R	R	D	D	R	R	R	R	R
Texas	R	D	R	R	R	R	R	R	R	R	R	R
Utah	R	R	R	R	R	R	R	R	R	R	R	R
Vermont	R	R	R	R	R	D	D	D	D	D	D	D
Virginia	R	R	R	R	R	R	R	R	R	D	D	D
Washington	R	R	R	R	D	D	D	D	D	D	D	D
West Virginia	R	D	D	R	D	D	D	R	R	R	R	R
Wisconsin	R	D	R	R	D	D	D	D	D	D	D	R
Wyoming	R	R	R	R	R	R	R	R	R	R	R	R
